item,sent_id,verb,discourse_cue,sentence,p,context,cue_sentence,inverted_sentence,subject,embedded_subject,translation,corpus
1,8,以为,not_p,"母亲: 好像不行哦。
母亲: 是不是少了一片？
母亲: 啊。(笑)
母亲: 哦。
母亲: 原来那个不是蛋啦。
母亲: 妈妈以为它是荷包蛋。
母亲: 原来他是谁！
母亲: 他是谁？",它是荷包蛋.,"母亲: 好像不行哦。
母亲: 是不是少了一片？
母亲: 啊。(笑)
母亲: 哦。
母亲: 原来那个不是蛋啦。
TARGET SENTENCE
母亲: 原来他是谁！
母亲: 他是谁？",母亲: 原来那个不是蛋啦.,"母亲: 好像不行哦.
母亲: 是不是少了一片?
母亲: 啊 (笑).
母亲: 哦.
母亲: 原来那个是蛋啦.
母亲: 妈妈XXXX它是荷包蛋.
母亲: 原来他是谁!
母亲: 他是谁?",NP,third_person,"mother: It looks like it’s not possible.
mother: is it missing a piece?
mother: ah!
mother: oh.
mother: that is not an egg.
mother: mom incorrectly thought he was a fried egg.
mother: who is she actually?
mother: who is she?",NSCtoys/2/d19_3
2,127,以为,not_p,"孩子: 他看的是动画片。
老师: 动画片啊！
老师: 什么动画片啊？
孩子: 这是一个灯。
老师: 哦,你想坐下来啊！
老师: 我以为你不想坐了。
孩子: 这是一个灯。
老师: 嗯,这是一个灯啊！",你不想坐了.,"孩子: 他看的是动画片。
老师: 动画片啊！
老师: 什么动画片啊？
孩子: 这是一个灯。
老师: 哦,你想坐下来啊！
TARGET SENTENCE
孩子: 这是一个灯。
老师: 嗯,这是一个灯啊！","老师: 哦,你想坐下来啊!","孩子: 他看的是动画片.
老师: 动画片啊!
老师: 什么动画片啊?
孩子: 这是一个灯.
老师: 哦,你不想坐下来啊!
老师: 我觉得你不想坐了.
孩子: 这是一个灯.
老师: 嗯,这是一个灯啊!",first_person,second_person,"child: He is watching a cartoon.
teacher: cartoon!
teacher: which cartoon is it?
child: this is a lamp.
teacher: oh, you want to sit down!
teacher: i incorrectly thought you didn’t want to sit down.
child: this is a lamp.
teacher: yeah, this is a lamp.",ZhouAssessment/3.5-4/NJliuqinxuan
3,19,以为,p_alt,"实验员: 哦。
母亲: 哦。 (笑)
实验员: 哦他在找这个啊。
母亲: 嘿。
实验员: 原来是这小玩具车。
实验员: 我以为是要那个大车子。
母亲: 奇怪哼。
实验员: 这小孩子喜欢。",(你)是要那个大车子.,"实验员: 哦。
母亲: 哦。 (笑)
实验员: 哦他在找这个啊。
母亲: 嘿。
实验员: 原来是这小玩具车。
TARGET SENTENCE
母亲: 奇怪哼。
实验员: 这小孩子喜欢。",实验员: 原来是这小玩具车.,"实验员: 哦.
母亲: 哦 (笑).
实验员: 哦他在找这个啊.
母亲: 嘿.
实验员: 原来是那个大车子.
实验员: 我觉得是要那个大车子.
母亲: 奇怪哼.
实验员: 这小孩子喜欢.",first_person,dropped,"experimenter: Oh!
mother: Oh (laugh).
experimenter: oh he’s looking for this.
mother: hey
experimenter: So it turns out it’s this little toy car.
experimenter: i incorrectly thought (the kid?) is looking for the bigger car.
mother: strange
experimenter: this little kid likes (it).",TCCM/yang/10600
4,39,以为,not_p,"孩子: 咦，他才不是小哥哥。
母亲: 啊，那不是小哥哥。
母亲: 我讲错了。
母亲: 你看你一直摸我这里。
母亲: 我就忘记。
母亲: 我以为他是小哥哥。
母亲: 所以你要专心啊。
母亲: 不然我都会忘记啊。",他是小哥哥.,"孩子: 咦，他才不是小哥哥。
母亲: 啊，那不是小哥哥。
母亲: 我讲错了。
母亲: 你看你一直摸我这里。
母亲: 我就忘记。
TARGET SENTENCE
母亲: 所以你要专心啊。
母亲: 不然我都会忘记啊。","孩子: 咦,他才不是小哥哥.
母亲: 啊,那不是小哥哥.
母亲: 我讲错了.","孩子: 咦,他是小哥哥.
母亲: 啊,那是小哥哥.
母亲: 我讲过了.
母亲: 你看你一直摸我这里.
母亲: 我就忘记.
母亲: 我觉得他是小哥哥.
母亲: 所以你要专心啊.
母亲: 不然我都会忘记啊.",first_person,third_person,"child: eh? he’s not the little older brother.
mother: ah, that’s not the little older brother.
mother: i misspoke.
mother: look, you keep touching me here.
mother: so i forgot.
mother: i incorrectly thought he was the little brother.
mother: So you need to stay focused.
mother: Or else I’ll end up forgetting.",Chang2/BookReading/13
5,40,以为,not_p,"孩子: 等一下有...
孩子: yeah.
孩子: 打开来。
母亲: 你不是女生喔？
孩子: 我是弟弟。
母亲: 我以为你是女生耶。
母亲: 这样拿就好了。
孩子: 我要先拿绳子。",你是女生.,"孩子: 等一下有...
孩子: yeah.
孩子: 打开来。
母亲: 你不是女生喔？
孩子: 我是弟弟。
TARGET SENTENCE
母亲: 这样拿就好了。
孩子: 我要先拿绳子。","母亲: 你不是女生喔?
孩子: 我是弟弟.","孩子: 等一下有...
孩子: yeah.
孩子: 打开来.
母亲: 你是女生喔?
孩子: 我是.
母亲: 我觉得你是女生耶.
母亲: 这样拿就好了.
孩子: 我要先拿绳子.",first_person,second_person,"child: wait there are …
child: yeah.
child: open it!
mother: you are not a girl?
child: i’m little brother.
mother: i incorrectly thought you were a girl.
mother: holding it like this is fine.
child: I should get the rope first.",ChangPlay/4/5
6,68,以为,p_alt,"大人: 这个真的是做的很棒。
大人: 这个是谁做的？
孩子: 姨夫做的。
大人: 哦！
大人: 是姨夫做的啊？
大人: 我以为是婆婆做的。
大人: 这么漂亮的一个汽车。
大人: 糟糕。",(这)是婆婆做的.,"大人: 这个真的是做的很棒。
大人: 这个是谁做的？
孩子: 姨夫做的。
大人: 哦！
大人: 是姨夫做的啊？
TARGET SENTENCE
大人: 这么漂亮的一个汽车。
大人: 糟糕。","孩子: 姨夫做的.
大人: 哦!
大人: 是姨夫做的啊?","大人: 这个真的是做的很棒.
大人: 这个是谁做的?
孩子: 婆婆做的.
大人: 哦!
大人: 是婆婆做的啊?
大人: 我觉得是婆婆做的.
大人: 这么漂亮的一个汽车.
大人: 糟糕.",first_person,dropped,"adult: This is really well done.
adult: Who made this? 
child: (This was) made by uncle. 
adult: Oh! 
adult: It was uncle who made it? 
adult: I incorrectly thought it was made by grandma.
adult: Such a beautiful car.
adult: Oh no!",Erbaugh/Peng/14
7,71,以为,not_p,"大人: 你不是女生吗？
大人: 你这个手这么搞的？
孩子: 画画的。
大人: 哦，画画的不是割破的？
孩子: 嗯。
大人: 我以为是割破的。
姐姐: 啊，不要再乱打听。
孩子: 还有我耳朵好痛哦。",(手)是割破的.,"大人: 你不是女生吗？
大人: 你这个手这么搞的？
孩子: 画画的。
大人: 哦，画画的不是割破的？
孩子: 嗯。
TARGET SENTENCE
姐姐: 啊，不要再乱打听。
孩子: 还有我耳朵好痛哦。","大人: 你这个手这么搞的?
孩子: 画画的.
大人: 哦,画画的不是割破的?
孩子: 恩.","大人: 你不是女生吗?
大人: 你这个手这么搞的?
孩子: 割破的.
大人: 哦,是割破的不是画画的?
孩子: 恩.
大人: 我觉得是割破的.
姐姐: 啊,不要再乱打听.
孩子: 还有我耳朵好痛哦.",first_person,dropped,"adult: Aren’t you a girl?
adult: What’s wrong with your hand?
child: (it is) drawn.
adult: Oh (it is) drawn, not cut? 
child: Yeah. 
adult: I incorrectly thought (it was) cut.
sister: Ah, don’t ask around anymore.
child: Also, my ear hurts.",Erbaugh/Peng/19
8,88,以为,not_p,"母亲: 哎。
母亲: 你要下去吃五香乖乖的话你就存不下钱来。
母亲: 你就没办法买很多很多的东西！
孩子: 什么啊？
母亲: 这有橘黄色。
母亲: 我以为没有橘黄色。
孩子: 找橘黄色干嘛啊？
母亲: 我要画颜色啊。",没有橘黄色.,"母亲: 哎。
母亲: 你要下去吃五香乖乖的话你就存不下钱来。
母亲: 你就没办法买很多很多的东西！
孩子: 什么啊？
母亲: 这有橘黄色。
TARGET SENTENCE
孩子: 找橘黄色干嘛啊？
母亲: 我要画颜色啊。",母亲: 这有橘黄色.,"母亲: 哎.
母亲: 你要下去吃五香乖乖的话你就存不下钱来.
母亲: 你就没办法买很多很多的东西!
孩子: 什么啊?
母亲: 这没有橘黄色.
母亲: 我觉得没有橘黄色.
孩子: 找橘黄色干嘛啊?
母亲: 我要画颜色啊.",first_person,dropped,"mother: ah.
mother: if you go and eat Wu xiang guai guai (food), you cannot save money.
mother: so you cannot buy a lot of stuff.
child: what?
mother: there is the orange color. 
mother: i incorrectly thought (there is) no orange color.
child: why are you looking for the orange color?
mother: i need to color it.",Erbaugh/Kang/19
4_NEW,282,以为,not_p,"孩子: 最后黑棋一般只要吃八十七个空，白棋一般吃六十几个空。
实验员: 为什么还不一样？
孩子: 因为这样才公平。
孩子: 因为白棋的棋子比黑棋的棋子少呀。
实验员: 哦这样啊。
实验员: 我以为是一样的。
实验员: 为什么要少一点？
孩子: 因为这个事儿我也不太知道呀。",是一样的.,"孩子: 最后黑棋一般只要吃八十七个空, 白棋一般吃六十几个空.
实验员: 为什么还不一样?
孩子: 因为这样才公平.
孩子: 因为白棋的棋子比黑棋的棋子少呀.
实验员: 哦这样啊.
TARGET SENTENCE
实验员: 为什么要少一点?
孩子: 因为这个事儿我也不太知道呀.",实验员: 我以为是一样的。,"实验员: 为什么还不一样？
孩子: 因为这样才公平。
孩子: 因为白棋的棋子比黑棋的棋子少呀。",first_person,dropped,"child: In the end, the Black usually secures around eighty-seven points, The White generally gets around sixty points.
investigator: Why are they not the same?
child: Because it is only fair this way.
child: Because White has fewer stones on the board than Black.
investigator: Oh, I see.
investigator: I incorrectly thought (they) were the same.
investigator: Why does (the White) have fewer?
child: Because this I also don’t know.",BJCMC/0506_DD
10,282,以为,p_alt,"实验员: 这个。(手指着画)
孩子: 画的形状都很像哟。 (手指着画)
实验员: 这是什么？ (手指着画)
孩子: 这是鸟。
实验员: 这是鸟？
实验员: 哦，我以为是人呢。
实验员: 啊。
孩子: 这我画的小鱼和水。",(这)是人.,"实验员: 这个。(手指着画)
孩子: 画的形状都很像哟。 (手指着画)
实验员: 这是什么？ (手指着画)
孩子: 这是鸟。
实验员: 这是鸟？
TARGET SENTENCE
实验员: 啊。
孩子: 这我画的小鱼和水。","CHI: 这是鸟.
INV: 这是鸟？","实验员: 这个。(手指着画)
孩子: 画的形状都很像哟. (手指着画)
实验员: 这是什么? (手指着画)
孩子: 这不是鸟.
实验员: 这是人.
实验员: 哦,我觉得是人呢.
实验员: 啊.
孩子: 这我画的小鱼和水.",first_person,dropped,"investigator: This one. (pointing to the painting)
child: The shapes you drew all look very similar. (pointing to the painting)
investigator: What is this? (pointing to the painting)
child: This is a bird.
investigator: This bird.
investigator: Oh, I thought it was a person.
investigator: Ah.
child: This is the little fish and water I drew.",BJCMC/0609_YE
